NAME                                                   TYPE           CLUSTER-IP       EXTERNAL-IP                                                                     PORT(S)        AGE
kubernetes                                             ClusterIP      172.20.0.1       <none>                                                                          443/TCP        106d
proxy-legado-nginx                                     ClusterIP      172.20.71.228    <none>                                                                          7996/TCP       100d
qgx-payment-ip-account-service-node                    ClusterIP      172.20.225.70    <none>                                                                          8503/TCP       102d
qgx-payment-ip-acquirer-service-go                     ClusterIP      172.20.240.168   <none>                                                                          8519/TCP       103d
qgx-payment-ip-b3-token-service-go                     ClusterIP      172.20.116.245   <none>                                                                          8530/TCP       103d
qgx-payment-ip-balance-service-go                      ClusterIP      172.20.161.186   <none>                                                                          8513/TCP       103d
qgx-payment-ip-bancoarbi-token-service-go              ClusterIP      172.20.167.161   <none>                                                                          8524/TCP       103d
qgx-payment-ip-bs2-token-service-go                    ClusterIP      172.20.68.145    <none>                                                                          7998/TCP       103d
qgx-payment-ip-buyer-service-go                        ClusterIP      172.20.62.227    <none>                                                                          8498/TCP       103d
qgx-payment-ip-ccb-service-go                          ClusterIP      172.20.193.131   <none>                                                                          8507/TCP       103d
qgx-payment-ip-celcoin-token-service-go                ClusterIP      172.20.212.186   <none>                                                                          8534/TCP       96d
qgx-payment-ip-credentials-service-node                ClusterIP      172.20.136.231   <none>                                                                          8502/TCP       103d
qgx-payment-ip-credit-card-service-go                  ClusterIP      172.20.254.221   <none>                                                                          8521/TCP       103d
qgx-payment-ip-dashboard-acquirer-angular              ClusterIP      172.20.103.179   <none>                                                                          9007/TCP       102d
qgx-payment-ip-dashboard-acquirer-service-node         ClusterIP      172.20.169.188   <none>                                                                          8527/TCP       102d
qgx-payment-ip-dashboard-angular                       ClusterIP      172.20.137.172   <none>                                                                          9003/TCP       103d
qgx-payment-ip-dashboard-service-node                  ClusterIP      172.20.166.51    <none>                                                                          8514/TCP       102d
qgx-payment-ip-deposit-withdraw-service-go             ClusterIP      172.20.227.74    <none>                                                                          8533/TCP       83d
qgx-payment-ip-escrow-service-go                       ClusterIP      172.20.48.81     <none>                                                                          8535/TCP       70d
qgx-payment-ip-facil-token-service-go                  ClusterIP      172.20.213.168   <none>                                                                          8532/TCP       87d
qgx-payment-ip-favored-service-go                      ClusterIP      172.20.237.198   <none>                                                                          8508/TCP       103d
qgx-payment-ip-invite-link-go                          ClusterIP      172.20.96.147    <none>                                                                          9006/TCP       102d
qgx-payment-ip-jwt-service-go                          ClusterIP      172.20.210.81    <none>                                                                          8600/TCP       103d
qgx-payment-ip-loan-service-go                         ClusterIP      172.20.4.222     <none>                                                                          8505/TCP       103d
qgx-payment-ip-mobile-recharge-service-go              ClusterIP      172.20.57.81     <none>                                                                          8504/TCP       103d
qgx-payment-ip-netcred-token-service-go                ClusterIP      172.20.81.112    <none>                                                                          8522/TCP       103d
qgx-payment-ip-onboarding-service-node                 ClusterIP      172.20.212.134   <none>                                                                          8501/TCP       103d
qgx-payment-ip-optin-service-node                      ClusterIP      172.20.217.215   <none>                                                                          7997/TCP       103d
qgx-payment-ip-pagar-link-angular                      ClusterIP      172.20.31.7      <none>                                                                          9005/TCP       103d
qgx-payment-ip-pay-office-service-go                   ClusterIP      172.20.12.99     <none>                                                                          8511/TCP       103d
qgx-payment-ip-paysmart-authorization-service-go       LoadBalancer   172.20.60.59     a23a2f87724c242088272f0abb2f6a0f-c6381d0a90890204.elb.sa-east-1.amazonaws.com   80:30969/TCP   104d
qgx-payment-ip-pix-client-service-go                   ClusterIP      172.20.106.243   <none>                                                                          8526/TCP       103d
qgx-payment-ip-portal-admin-account-service-node       ClusterIP      172.20.253.169   <none>                                                                          8528/TCP       103d
qgx-payment-ip-portal-admin-angular                    ClusterIP      172.20.98.209    <none>                                                                          9004/TCP       102d
qgx-payment-ip-portal-admin-config-service-node        ClusterIP      172.20.114.249   <none>                                                                          8499/TCP       102d
qgx-payment-ip-portal-admin-transaction-service-node   ClusterIP      172.20.158.12    <none>                                                                          8529/TCP       102d
qgx-payment-ip-prepaid-card-service-go                 ClusterIP      172.20.114.140   <none>                                                                          8509/TCP       103d
qgx-payment-ip-proxy-reverse-service-go                LoadBalancer   172.20.226.66    a2ff1ff3ab839431990b25e1507bd99a-1c2ba58312d6ba84.elb.sa-east-1.amazonaws.com   80:30394/TCP   105d
qgx-payment-ip-public-service-node                     ClusterIP      172.20.252.228   <none>                                                                          7999/TCP       102d
qgx-payment-ip-receivables-service-go                  ClusterIP      172.20.195.7     <none>                                                                          8506/TCP       103d
qgx-payment-ip-services-recharge-service-go            ClusterIP      172.20.4.186     <none>                                                                          8516/TCP       103d
qgx-payment-ip-transfers-service-go                    ClusterIP      172.20.210.129   <none>                                                                          8510/TCP       103d
qgx-payment-ip-utils-service-go                        ClusterIP      172.20.203.237   <none>                                                                          8512/TCP       103d
qgx-payment-ip-webapp-angular                          ClusterIP      172.20.171.14    <none>                                                                          9001/TCP       102d
qgx-payment-ip-wiz-token-service-go                    ClusterIP      172.20.110.130   <none>                                                                          8525/TCP       103d
site-qg2-com-br                                        ClusterIP      172.20.168.107   <none>                                                                          7000/TCP       105d

qgx-payment-ip-portal-admin-account-service-node:8538
